,2015 EBITDA,2016 EBITDA,2017 EBITDA,2018 EBITDA,2019 EBITDA
DDD,-21.676,22.115,8.068,16.102,-6.81
MMM,8306,8493,8770,9262,8567
EGHT,8.995,3.533,3.768,-16.71,-66.317
AOS,456.4,526.5,589.8,623,545.1
AAON,82.984,92.609,89.155,72.994,90.114
AIR,62.2,115.8,115.4,126.5,141.1
ABT,4421,4602,4993,7122,7605
ABBV,9277,10984,12065,13903,15932
ANF,389.78,281.092,186.125,299.025,308.929
ABMD,33.046,69.434,97.93,169.479,238.018
ABM,143.3,163.7,198.6,303.3,326.9
ACHC,384.36,580.245,580.892,571.575,568.576
AKR,110.213,91.9,136.708,145.09,173.625
ACN,5130.967,5516.493,6063.031,6918.66,7246.167
ACIW,227.618,178.162,236.011,223.261,284.459
ATVI,1799,2596,2508,2989,2317
AYI,434.5,557.9,604.7,546.7,553
ADUS,23.071,21.882,32.064,36.007,50.026
ADNT,1045,1059,1115,645,467
ADBE,1187.791,1806.314,2461.24,3138.214,3964.918
ATGE,292.159,288.261,257.595,283.306,223.425
ADTN,27.724,49.142,54.872,-29.531,-13.536
AAP,1146.531,1067.644,848.55,901.859,917.851
AEIS,115.686,134.67,210.194,189.384,110.704
AMD,-164,-336,211,626,847
ASIX,133.77,94.206,202.849,146.496,119.043
ACM,1003.513,901.836,810.211,770.062,626.232
AEGN,117.205,109.295,113.987,100.158,96.086
AJRD,150.3,160.6,185.9,285.5,315.1
AVAV,10.818,16.741,25.492,36.398,45.892
AMG,929.5,765,847.4,914.5,877.8
AFL,#N/A,#N/A,#N/A,#N/A,#N/A
AGCO,646.1,573.9,707.6,807,805.6
A,802,982,1054,1117,1172
AGYS,-1.966,0.882,2.051,4.394,5.901
ADC,53.803,72.423,92.644,123.087,166.39
APD,2806.7,2425.1,2530.8,2886.1,3203.3
AKAM,768.336,805.225,767.64,844.216,1008.665
ALG,100.523,88.42,109.202,124.202,126.553
ALRM,23.69,21.104,52.073,36.25,75.438
ALK,1675,1838,1711,1130,1543
AIN,156.765,167.232,172.75,231.74,268.557
ALB,730.682,735.806,819.488,925.01,898.807
ALEX,152.4,106.1,83.3,243.6,86.1
ARE,513.796,568.419,714.809,965.818,1140.038
ALXN,725,1106,1451.1,2019,2479.9
ALGN,206.638,272.923,391.35,521.291,617.858
Y,#N/A,#N/A,#N/A,#N/A,#N/A
ATI,19.2,86.9,412.8,516.2,527.6
ABTX,#N/A,#N/A,#N/A,#N/A,#N/A
ALGT,468.507,474.728,387.596,372.81,519.802
ALLE,438.3,490.1,567.4,626.2,668.1
ALE,421.8,409,406.6,404.8,381.8
ADS,1827.2,1776.4,2120.7,1949.9,1696.2
LNT,990.7,1030.2,1136.9,1211.9,1344.9
MDRX,199.948,240.38,167.15,171.609,238.112
GOOG.L,#N/A,,,,
GOOG,23024,29321,35966,40566,47254
MO,8717,9257,9946,9693,10785
AMZN,8051,10406,13517,25330,30457
AMBC,#N/A,#N/A,#N/A,#N/A,#N/A
AMCX,1571.785,1718.934,1823.116,1854.299,1870.314
AMCR,1320.3,1341.1,1366.7,1396.4,1180.5
AMED,88.138,81.45,125.682,168.409,212.77
AEE,2152,2314,2382,2407,2341
AAL,8900,7833,6982,5606,6024
AAT,154.624,165.789,173.619,183.878,204.783
AXL,539.8,588.6,1032.4,1122.9,973.1
ACC,365.692,389.425,392.81,430.836,471.07
AEO,348.176,468.034,509.365,492.489,507.187
AEP,5465.8,5499.1,5456,5113,5326.2
AEL,#N/A,#N/A,#N/A,#N/A,#N/A
AXP,12885,12918,12993,15119,15200
AFG,#N/A,#N/A,#N/A,#N/A,#N/A
AIG,#N/A,#N/A,#N/A,#N/A,#N/A
APEI,73.618,68.365,55.728,50.909,37.644
AWR,161.163,153.825,158.05,141.561,162.533
AMT,2964.413,3465.912,3986.3,4525.6,4642.8
AVD,27.998,36.867,44.689,57.914,45.912
AWK,1512,1540,1729,1664,1786
AMWD,67.555,108.16,125.838,163.305,235.281
CRMT,53.784,26.381,41.787,48.846,71.612
AMP,2808,2132,2690,2965,2506
ABCB,#N/A,#N/A,#N/A,#N/A,#N/A
AMSF,#N/A,#N/A,#N/A,#N/A,#N/A
ABC,1557.126,2067.907,2441.197,2150.59,2355.069
AME,1093.776,1007.213,1070.047,1275.03,1411.422
AMGN,10266,11629,11922,12272,11779
AMN,149.832,221.228,244.903,241.665,242.613
AMPH,9.86,30.256,11.898,7.893,21.082
APH,1282.4,1457.2,1658.5,1995.1,1956.7
ADI,1048.524,1260.38,1755.047,2760.353,2609.77
ANGO,49.922,40.721,48.512,18.818,19.111
ANIP,39.6,49.107,57.16,70.436,61.038
ANIK,51.909,54.341,50.019,27.659,41.818
ANSS,432.149,446.229,470.145,539.329,600.615
AM,257.266,374.461,-41.134,-43.851,530.266
ANTM,#N/A,#N/A,#N/A,#N/A,#N/A
AON,2107,1668,1665,2518,3170
APA,3552,2962,3642,4759,3820
AIV,560.794,578.232,594.568,592.151,536.944
APOG,93.008,128.641,157.832,169.127,120.225
ARI,152.308,236.25,261.436,#N/A,381.169
AAPL,77130,68281,69428,80342,74542
AIT,228.794,203.941,212.726,275.69,329.801
AMAT,2000,2671,4227,4940,3713
AAOI,22.873,37.208,107.332,18.93,-24.733
ATR,464.938,470.902,478.789,530.845,588.417
APTV,2574,2219,2066,2274,2131
ARCB,168.538,142.336,167.379,255.985,196.858
ADM,2221,2794,2087,2910,2671
AROC,371.143,312.68,264.25,338.511,394.451
ARNC,#N/A,580,531,542,616
ACA,375.1,266.4,197.4,185.7,238.7
ANET,162.979,263.158,490.912,705.047,838.174
ARLO,#N/A,-11.02,9.471,-42.488,-127.81
AHH,50.516,62.277,70.753,70.835,92.502
ARR,28.073,27.59,275.712,#N/A,38.324
ARW,1044.246,1089.801,1215.8,1390.921,1094.598
ARWR,-81.60345,-82.29432,-32.30547,-51.23696,65.62977
AJG,725.7,813,896.7,1028,1219.1
ABG,330.9,334.2,325.1,348.3,370.9
ASGN,224.375,252.588,287.44,371.723,409.7
ASH,831,272,438,414,559
ASB,#N/A,#N/A,#N/A,#N/A,#N/A
AIZ,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,#N/A,#N/A,#N/A,#N/A,#N/A
ASTE,75.79,111.871,81.576,-47.511,54.797
T,48637,51721,47894,55719,58594
AAWW,271.171,349.387,413.271,512.367,437.972
ATO,932.548,1000.373,1043.689,1089.017,1137.514
ATNI,139.844,147.989,148.477,124.224,108.866
ADSK,262.7,117.8,-281.2,-316.5,124.2
ADP,2291.9,2536.7,2734.4,2955.5,3413.6
AN,998,971.3,925.8,887.5,963.2
AZO,2222.992,2357.852,2403.191,2479.193,2578.943
AVB,1158.79,1279.549,1372.822,1451.467,1481.803
AVNS,220.8,210.9,24,68.4,31.5
AVY,717.6,779.1,929.4,990.1,998.8
AVNT,396.7,364.2,361.3,270,277
CAR,2953,3015,3040,2996,3908
AVA,401.049,454.728,482.452,452.149,436.058
AVT,1065.797,697.263,754.175,770.655,792.293
ACLS,25.605,21.163,52.844,65.731,32.085
AAXN,38.626,35.809,21.064,37.456,6.267
AX,#N/A,#N/A,#N/A,#N/A,#N/A
AZZ,156.914,168.612,157.225,98.774,128.502
BGS,210.023,316.566,288.691,244.27,284.089
BMI,62.968,73.207,80.02,81.184,86.294
BKR,1627,1758,1604,2773,3044
BCPC,133.642,138.013,143.409,153.523,150.406
BLL,1106.8,1144,1913,1625,1680
BANC,#N/A,#N/A,#N/A,#N/A,#N/A
BANF,#N/A,#N/A,#N/A,#N/A,#N/A
BXS,#N/A,#N/A,#N/A,#N/A,#N/A
BAC,#N/A,#N/A,#N/A,#N/A,#N/A
BOH,#N/A,#N/A,#N/A,#N/A,#N/A
OZK,#N/A,#N/A,#N/A,#N/A,#N/A
BKU,#N/A,#N/A,#N/A,#N/A,#N/A
BANR,#N/A,#N/A,#N/A,#N/A,#N/A
BNED,83.976,80.589,78.291,123.487,104.942
B,258.985,277.586,296.825,332.434,342.058
BAX,1372,1901,2335,2523,2697
BDX,2328,3208,3182,4104,5024
BBBY,1793.486,1688.85,1426.124,1091.328,761.595
BELF.B,#N/A,,,,
BDC,338.065,428.947,427.847,388.011,349.285
BHE,155.952,142.56,133.265,117.025,97.293
BRK.B,45414,44473,33260,41889,42746
BHLB,#N/A,#N/A,#N/A,#N/A,#N/A
BBY,2099,2141,2389,2548,2734
BIG,347.722,372.555,368.463,418.446,347.12
BIIB,4172.3,5148.9,5457.3,5813.2,6293.9
BIO,292.908,258.399,261.856,320.872,428.461
TECH,189.749,196.118,206.409,225.446,207.716
BEAT,28.069,40.92,58.234,104.641,110.731
BJRI,122.477,129.256,116.545,134.355,123.148
BJ,#N/A,370.737,397.093,387.337,475.756
BKH,420.313,556.728,605.3,593.495,615.845
BLKB,102.709,132.291,142.92,143.573,118.646
BLK,5015,4918,5671,5803,6256
BLMN,465.451,425.291,383.108,385.263,469.055
BCOR,28.78627,80.145,89.277,106.555,125.305
BCC,157.162,155,222.169,255.747,215.817
BCEI,117.128,38.669,62.792,159.548,194.052
BKNG,3531.401,4156.148,5142.758,5767,5986
BOOT,44.643,51.541,55.728,65.066,83.679
BWA,1355.9,1507.1,1620.5,1718.9,1671
BPFH,#N/A,#N/A,#N/A,#N/A,#N/A
BXP,1488.254,1524.103,1529.335,1569.281,1732.23
BSX,1559,2051,2369,2631,2722
EPAY,44.259,40.507,33.258,51.243,53.855
BYD,496.885,507.855,563.63,604.466,784.061
BRC,137.127,150.509,158.804,174.023,185.179
BDN,336.082,301.786,362.181,296.291,314.328
BHF,#N/A,#N/A,#N/A,#N/A,#N/A
BSIG,195.2,167.6,104.8,86.8,312
EAT,461.208,491.024,435.242,410.022,365.9
BMY,4621,5805,6111,7097,8248
VTOL,67.544,41.159,21.783,25.027,33.235
BRX,787.943,823.235,843.182,778.48,744.881
AVGO,2812,3821,7412,9448,10111
BR,605.4,672.8,786.2,887.4,810.4
BRKL,#N/A,#N/A,#N/A,#N/A,#N/A
BRKS,47.463,47.523,45.363,71.123,109.582
BRO,551.902,577.24,583.225,613.214,927.817
BF.B,1033,1034,987,1112,1189
BC,499.4,568.5,615.9,542.7,617.9
BLDR,173.311,347.829,382.296,466.874,492.344
CHRW,924.719,912.2,868.096,1008.812,890.425
CABO,302.377,339.024,418.532,479.81,543.925
CBT,454,475,505,517,512
COG,583.209,512.597,999.313,1257.779,1203.877
CACI,302.464,341.402,369.721,412.905,478.744
CADE,#N/A,#N/A,#N/A,#N/A,#N/A
CDNS,408.806,406.544,448.885,526.019,623.206
CZR,129.125,162.574,312.18,498.024,673.076
CAMP,34.326,43.193,35.305,38.327,48.626
CVGW,51.707,69.906,70.184,70.477,82.602
CAL,182.873,189.484,192.608,200.085,181.095
CWT,158.863,166.201,220.954,214.836,206.98
ELY,42.531,63.268,107.893,151.815,212.062
CPE,73.201,126.014,263.09,450.218,492.957
CALM,276.282,514.906,-79.317,237.924,102.714
CPT,468.184,497.77,507.678,539.891,589.75
CPB,1478,1446,1987,1398,1555
CMD,104.728,121.648,143.597,156.5,125.991
COF,#N/A,#N/A,#N/A,#N/A,#N/A
CFFN,#N/A,#N/A,#N/A,#N/A,#N/A
CPRI,1394.161,1358.3,1119.8,1096.5,1109
CMO,172.935,180.257,230.515,301.156,239.581
CAH,2821,3544,3198,3556,2806
CSII,-30.316,-41.796,2.593,6.168,2.621
CATM,311.094,326.065,354.278,280.901,288.887
CTRE,59.423,84.782,108.878,129.498,142.297
CSL,631.3,730,658.1,716,861.9
KMX,641.775,702.985,713.065,754.15,778.763
CCL,4200,4809,5048,5342,5437
CRS,281.3,244.3,238.5,303.1,346.6
CARR,#N/A,#N/A,2916,3055,2911
CRI,419.076,459.537,463.338,447.056,465.589
CASY,481.465,561.441,509.538,486.854,564.612
CTLT,418.8,370.1,407.5,477.9,541.4
CAT,7731,5148,8556,11434,11070
CATY,#N/A,#N/A,#N/A,#N/A,#N/A
CVCO,42.234,50.264,60.493,77.799,88.836
CBOE,366.202,342.577,649.5,833.5,762.3
CBRE,1139.269,1166.552,1492.319,1578.327,1833.926
CDK,436.5,526.4,659.2,588.7,691.5
CDW,976.1,1073.7,1127.4,1252.9,1393.6
CE,1079,1193,1223,1672,1381
CNC,#N/A,#N/A,#N/A,#N/A,#N/A
CNP,1880,2032,2029,2120,2377
CENT,132.41,173.587,200.831,214.535,202.196
CENT.A,#N/A,,,,
CPF,#N/A,#N/A,#N/A,#N/A,#N/A
CENX,72.065,29.802,168.8,26.8,11.3
CCS,61.327,77.452,80.629,127.054,164.839
CDAY,91.3,60.5,94.1,118.1,135.6
CERN,1325.361,1455.249,1541.194,1417.376,1374.635
CEVA,8.564,8.965,12.962,-2.309,-10.298
CF,2121,1153,1187,1566,1808
CHX,230.138,117.136,221.701,282.15,233.305
CRL,312.974,392.754,428.319,519.913,590.685
GTLS,121.499,107.188,87.3,147.3,175.3
CHTR,3400,10348,15040,15774,16540
CLDT,108.08,107.711,105.993,106.321,108.785
CHE,223.293,220.753,252.026,284.552,316.551
CPK,113.034,125.295,135.203,142.834,158.812
CVX,19329,14113,22141,33890,29381
CHS,285.457,268.372,283.48,247.48,159.001
CMG,907.722,204.226,459.828,591.873,863.962
CHH,236.861,255.197,316.685,356.608,369.694
CB,#N/A,#N/A,#N/A,#N/A,#N/A
CHD,770.3,834.7,857.2,927.3,1022.6
CHDN,268.92,227,241.6,263.1,324.8
CHUY,35.936,40.939,45.952,39.79,42.935
CIEN,258.228,307.407,359.972,363.216,497.386
CI,#N/A,#N/A,#N/A,#N/A,#N/A
XEC,753.734,642.463,1192.473,1574.124,1490.281
CBB,305,288.2,299.6,366.1,397.7
CINF,#N/A,#N/A,#N/A,#N/A,#N/A
CNK,629.302,655.301,667.691,720.587,668.551
CTAS,850.731,932.832,1047.28,1268.407,1508.037
CIR,76.355,56.717,64.656,115.874,130.189
CRUS,163.216,227.069,390.744,343.885,175.682
CSCO,14034,15123,15046,14909,16435
CIT,#N/A,#N/A,#N/A,#N/A,#N/A
C,#N/A,#N/A,#N/A,#N/A,#N/A
CFG,#N/A,#N/A,#N/A,#N/A,#N/A
CTXS,850.327,808.513,814.645,875.424,792.666
CHCO,#N/A,#N/A,#N/A,#N/A,#N/A
CLH,504.767,402.054,425.657,492.405,540.317
CLW,213.035,198.352,176.175,170.971,164.9
CLF,278.3,281.9,333.1,360.9,509.4
CCMP,93.759,99.599,136.978,188.729,325.491
CME,2206.9,2455.7,2517.3,2892.6,3073.4
CMS,1914,2107,2219,2095,2231
CNO,#N/A,#N/A,#N/A,#N/A,#N/A
CNX,629.286,97.835,391.704,1044.814,766.163
COKE,188.287,245.865,274.018,259.902,350.532
CCOI,116.621,135.225,147.982,166.809,179.445
CGNX,135.868,176.251,275.833,242.691,167.502
CTSH,2543,2651,3005,3247,3309
COHR,136.019,171.827,444.84,507.764,199.48
CHRS,-216.816,-112.935,-224.58,-197.32,111.137
COHU,15.634,16.677,48.743,44.48,23.156
CFX,505.232,382.796,444.303,322.49,561.171
CL,4419,4403,4484,4361,4281
COLB,#N/A,#N/A,#N/A,#N/A,#N/A
COLM,401.129,424.482,306.226,396.012,488.976
CMCS.A,#N/A,,,,
CMA,#N/A,#N/A,#N/A,#N/A,#N/A
FIX,120.88,127.074,137.151,191.982,230.397
CBSH,#N/A,#N/A,#N/A,#N/A,#N/A
CMC,399.31,333.666,290.085,350.169,497.715
CBU,#N/A,#N/A,#N/A,#N/A,#N/A
CYH,2422,2110,1049,1586,1511
CHCT,4.06,17.252,24.717,33.415,41.391
CVLT,47.67,12.983,9.382,10.948,32.717
CMP,302.8,272.5,282,272.5,300.6
CPSI,33.25052,35.819,36.065,37.164,37.596
CMTL,46.813,43.586,62.199,69.805,82.045
CAG,1783.9,1019.5,1391,1212.1,1737.4
CNXC,#N/A,,,,
CXO,1016.37,947.286,1703,2860,2885
CNMD,129.267,127.358,131.731,148.179,139.98
CONN,142.907,141.313,99.321,158.028,200.619
COP,7111,5876,9849,15183,13549
CEIX,632.472,250.796,348.066,473.936,391.181
CNSL,276.31,263.274,364.435,453.797,462.518
ED,3743,3892,4106,3971,4336
STZ,1778.7,2125.6,2542.5,2830,3100
CTB,541.242,592.254,471.826,366.337,370.648
CPS,359.109,416.832,451.821,369.122,189.93
CPRT,391.691,455.045,539.564,732.674,801.37
CORT,-3.288,10.266,52.961,89.732,113.777
CLB,215.139,112.707,135.124,140.972,124.608
CXW,436.023,467.172,408.139,413.651,430.842
CLGX,357.201,454.067,420.924,426.535,430.965
CORE,126.4,135.2,111,134,153.5
COR,163.918,204.468,254.088,283.006,293.699
GLW,2480,2695,2799,2873,2798
OFC,279.423,282.668,281.884,284.418,294.895
CTVA,#N/A,4249,2792,2331,2187
CRVL,63.559,66.012,68.52,70.847,84.497
COST,4816,5005,5563,5985,6315
COTY,735.9,742.2,896.4,1375.5,980.2
CUZ,203.957,127.564,269.457,284.156,393.249
CVET,162.452,186.545,194.375,209.743,117
CBRL,331.335,358.694,399.477,387.284,390.381
CR,461.7,468.6,481.9,588.3,592.6
CREE,188.33,168.93,121.857,113.5,137.9
CROX,-12.297,31.033,71.95,99.176,152.662
CCRN,35.091,41.322,39.323,27.129,20.042
CCI,2106.824,2116.44,2388,2915,3105
CRY,20.017,30.189,28.603,35.807,42.687
CSGS,160.271,174.287,157.362,174.494,196.388
CSX,4792,4575,5063,5974,6094
CTS,47.406,74.572,65.046,92.382,84.867
CUB,119.028,55.822,51.855,79.029,143.555
CFR,#N/A,#N/A,#N/A,#N/A,#N/A
CMI,2600,2314,2484,2986,3174
CW,414.169,406.716,419.369,478.718,511.493
CUBI,#N/A,#N/A,#N/A,#N/A,#N/A
CUTR,-3.335,3.379,8.092,-10.349,-7.601
CVBF,#N/A,#N/A,#N/A,#N/A,#N/A
CVS,11785,13126,12525,13490,17040
CONE,191.9,264,352.9,438.7,619
CYTK,-36.818,14.928,-111.496,-87.677,-97.574
DHI,1199.8,1445.1,1719.1,2102.8,2126.8
DAKT,45.426,19.646,34.813,30.063,13.993
DAN,618,612,780,920,918
DHR,3298.5,4115.4,4387.8,4247.8,4551.9
DRI,773.7,906.9,927.8,1098.8,1161.7
DAR,424.901,429.488,437.326,436.519,415.158
PLAY,144.729,188.696,238.821,294.834,298.142
DVA,2495.628,2191.367,2182.636,2092.184,2370.682
DECK,262.598,245.43,205.87,284.979,360.75
DE,4355.5,4467.5,5764.8,7069.4,7686
DAL,10215,9183,8259,7596,9239
DLX,437.733,467.075,526.883,470.921,443.503
XRAY,561.2,774.7,833.2,688.4,763.4
DBI,298.17,288.09,251.662,262.612,203.115
DVN,-2044,2292,2479.9999,2630,1811
DXCM,-46.3,-48.9,-17.2,-151.8,191
FANG,293.059,355.998,933.17,1672.79,2939
DRH,256.378,255.214,238.431,217.298,244.135
DKS,733.49,736.686,723.974,769.548,684.16
DBD,198.4,195.3,387.6,311.2,461.1
DGII,17.151,23.006,13.315,18.944,21.271
DLR,916.205,1183.291,1318.092,1705.414,1739.102
DCOM,#N/A,#N/A,#N/A,#N/A,#N/A
DIN,271.018,252.708,193.671,209.574,250.79
DIOD,122.202,137.021,188.389,259.722,286.363
DFS,#N/A,#N/A,#N/A,#N/A,#N/A
DISC.A,#N/A,,,,
DISC.K,#N/A,,,,
DISH,2980.351,3271.611,2834.942,2869.645,2516.453
DHC,567.451,604.647,551.791,552.993,452.266
BOOM,2.125,6.695,20.173,56.058,88.549
DG,2127.646,2304.725,2456.18,2455.449,2588.84
DLTR,1276.1,1578.1,2346,2634.4,2427.6
D,5018,5169,5928,5980,7358
DPZ,438.073,492.182,565.601,619.454,689.637
UFS,670,610,569,705,544
DCI,387.908,365.2,403.8,453.7,469.3
DFIN,218.8,154.5,147.3,117.5,148.7
LPG,45.52104,200.18713,76.64027,66.62201,64.78226
DORM,162.343,187.508,198.464,198.843,137.128
DEI,344.155,425.505,485.274,550.699,610.183
DOV,1303.055,1115.351,1142.424,1230.579,1326.28
DOW,#N/A,5944,7328,8314,6272
DRQ,275.412,119.116,32.638,3.978,39.708
DSPG,3.135,6.235,-1.317,-4.009,-2.863
DTE,2286,2595,2707,2871,2990
DUK,8186,8949,9517,9522,10269
DRE,527.205,417.53,461.346,536.584,579.183
DNKN,402.949,433.467,422.073,445.278,475.274
DD,8688,8762,11158,4320,4854
DXC,704,872,1116,4104,4304
DXPE,81.41,49.326,61.276,94.615,91.296
DY,250.362,372.514,372.514,289.876,296.168
EGBN,#N/A,#N/A,#N/A,#N/A,#N/A
EXP,299.681,326.528,354.996,411.566,411.732
EGRX,2.672,54.046,79.545,50.138,26.466
EWBC,#N/A,#N/A,#N/A,#N/A,#N/A
DEA,29.288,52.404,68.926,87.924,121.735
EGP,147.628,160.778,176.625,199.752,221.986
EMN,2293,2122,2111,2074,1933
ETN,3427,3396,3589,3885,3945
EV,414.673,441.044,499.952,558.027,548.724
EBAY,2797,2979,2957,2919,3000
EBIX,98.172,110.799,158.59,165.113,163.438
ECHO,53.75051,47.6403,52.80401,90.904,73.954
ECL,2842.4,2858.1,3092.8,2919.8,3152.3
EPC,407.2,448.9,451.5,382.1,391.3
EIX,4018,4211,4300,4128,4012
EW,641.7,886.7,1099.1,1169.7,1312.5
EHTH,4.818,-0.637,-3.49,23.563,114.479
LOCO,62.635,58.687,56.63,46.194,60.038
EA,1306,1061,1417,1575,1147
LLY,5019.8,5367.9,6498.5,7394.3,7022.1
EME,362.095,392.113,478.459,487.211,554.502
EBS,175.792,145.281,165.1,129.2,249.8
EMR,3776,3317,3276,3697,3953
EIG,#N/A,#N/A,#N/A,#N/A,#N/A
ENTA,124.787,32.502,26.751,90.846,39.996
EHC,693.9,821.4,833.2,881.3,911.2
ECPG,316.052,275.814,366.053,429.691,492.719
WIRE,88.292,67.577,95.133,116.023,89.236
ENDP,1036.268,1438.01,1474.396,1291.024,1194.736
ENR,317.4,285.1,350.9,370.4,523.4
EPAC,191.146,153.734,117.081,84.153,94.716
ENS,342.531,322.148,340.028,330.959,353.502
ENVA,147.3,140.061,148.747,189.746,263.265
ENPH,-10.597,-48.285,-13.457,16.192,119.447
NPO,149.3,145.8,170.6,168.5,161
ETR,3444.689,3750.051,3873.357,3102.241,3951.837
EOG,3202.731,2857.833,4898.906,8248.258,7690.724
PLUS,76.839,76.098,86.807,103.434,86.182
EPR,364.103,415.471,496.979,559.085,492.011
EQT,1004.103,910.818,1123.334,2548.073,1633.084
EFX,912.6,1113.4,1119.5,804.5,808.1
EQIX,1110.326,1575.499,1821.129,2249.772,2487.742
ETRN,499.795,587.505,730.388,1207.837,1351.96
EQR,1757.256,1523.329,1577.883,1630.927,1730.495
ESE,82.009,101.097,116.28,138.181,142.815
ESNT,#N/A,#N/A,#N/A,#N/A,#N/A
EPRT,#N/A,10.709,44.658,80.818,115.697
WTRG,449.837,458.593,470.644,469.851,519.121
ESS,820.171,858.272,1022.176,947.738,1031.047
ETH,85.076,108.532,78.065,68.698,73.958
ETSY,16.666,40.653,56.152,101.279,140.692
EVR,219.606,310.505,507.521,591.935,529.286
RE,#N/A,#N/A,#N/A,#N/A,#N/A
EVRG,958.562,1057.316,1094.6,1744,2098.9
ES,2452.359,2647.021,2752.037,3023.886,2910.793
EVTC,168.334,166.712,150.333,188.195,218.745
EXEL,-102.173,-34.779,170.805,446.624,380.637
EXC,7373,10585,9840,10161,9738
EXLS,99.111,102.802,125.846,119.875,135.442
EXPE,914.195,1373.199,1556.832,1742,1837
EXPD,767.496,716.959,749.57,850.582,817.642
EXPO,74.412,68.042,78.336,97.748,91.917
EXTN,245.882,151.506,170.822,205.027,198.908
EXR,417.127,613.598,726.048,806.204,865.932
EXTR,5.813,29.757,54.381,74.386,49.681
XOM,30931,23244,32066,39574,30762
EZPW,45.47,58.742,77.62,93.071,80.205
FNB,#N/A,#N/A,#N/A,#N/A,#N/A
FFIV,605.482,613.204,633.965,666.325,588.263
FN,61.26,87.127,131.127,124.687,154.101
FB,8239,14769,23228,29228,34727
FDS,366.826,398.079,421.412,437.783,500.292
FICO,189.636,201.225,217.885,205.541,285.16
FARO,24.739,28.152,22.81,24.967,-4.105
FAST,913.942,899.359,1008.2,1136.9,1204.7
FBK,#N/A,#N/A,#N/A,#N/A,#N/A
FRT,475.05,521.28,554.633,600.579,598.14
FSS,115.9,79.9,106.3,159.1,191.1
FHI,286.855,350.128,360.68,316.023,376.893
FDX,4951,6146,8420,8224,8139
FOE,133.242,158.22,208.388,160.288,137.631
FIS,1939,2753,2976,3129,4204
FRGI,96.349,91.111,62.559,66.938,52.073
FITB,#N/A,#N/A,#N/A,#N/A,#N/A
FAF,#N/A,#N/A,#N/A,#N/A,#N/A
FBNC,#N/A,#N/A,#N/A,#N/A,#N/A
FBP,#N/A,#N/A,#N/A,#N/A,#N/A
FCF,#N/A,#N/A,#N/A,#N/A,#N/A
FFBC,#N/A,#N/A,#N/A,#N/A,#N/A
FFIN,#N/A,#N/A,#N/A,#N/A,#N/A
FHB,#N/A,#N/A,#N/A,#N/A,#N/A
FHN,#N/A,#N/A,#N/A,#N/A,#N/A
FR,207.355,231.458,252.926,259.447,280.533
FMBI,#N/A,#N/A,#N/A,#N/A,#N/A
FRC,#N/A,#N/A,#N/A,#N/A,#N/A
FSLR,754.776,481.581,377.175,267.058,450.891
FCFS,131.729,180.252,272.183,283.145,300.474
FE,3860,4144,3802,3495,3659
FISV,1728,1866,1955,2081,3362
FIVE,94.218,115.168,140.593,190.632,235.135
FBC,#N/A,#N/A,#N/A,#N/A,#N/A
FLT,853.494,951.554,1142.269,1373.689,1504.451
FLIR,356.659,354.662,385.184,421.93,403.491
FLO,444.476,438.043,406.025,405.844,414.171
FLS,746.968,541.755,371.184,422.309,536.01
FLR,1119.121,858.262,681.999,436.311,-440.8
FMC,623.1,492.7,614.3,1094.7,1217.5
FL,950,1091,1168,955,914
F,15852,12296,12878,11461,9039
FORM,20.235,25.083,91.677,79.956,99.515
FORR,32.343,40.443,34.978,35.329,87.256
FTNT,57.359,95.761,167.42,286.7,405.8
FTV,1470.9,1444.5,1319.9,1446.2,1589.9
FBHS,630.3,778.2,836,840.8,939.3
FWRD,128.129,140.631,149.812,164.214,160.899
FOSL,431.896,263.016,120.296,185.037,71.319
FBM,#N/A,67.958,122.325,145.832,199.295
FCPT,13.985,92.215,100.997,113.312,126.967
FOXA,#N/A,2186,2729,2439,2643
FOX,#N/A,2186,2729,2439,2643
FOXF,55.344,62.906,77.119,108.025,130.414
FELE,128.834,143.531,150.641,173.664,175.128
BEN,3169.9,2527.8,2470.3,2161.5,1667.9
FSP,131.935,126.782,541.64,144.325,141.214
FCX,3201,3270,5095,6963,2081
FDP,270.5,344.5,236.8,179,193.4
FCN,206.429,203.771,193.627,265.703,343.9
FLGT,-4.437,2.088,-1.754,-2.907,2.092
FULT,#N/A,#N/A,#N/A,#N/A,#N/A
FF,48.057,53.562,25.375,73.755,78.697
GME,789.3,809.4,773.5,574.1,417.7
GCI,135.75,142.922,151.052,157.04,181.399
GRMN,627.941,710.249,769.889,874.537,1051.761
IT,361.303,409.708,392.292,622.513,677.795
GATX,663,678.6,656.2,650.8,659
GCP,229.3,162.7,141.4,142.6,134.9
GNRC,263.114,269.981,302.245,405.463,433.072
GD,4660,4187,4618,5220,5477
GE,18645,20771,7970,17055,14355
GIS,3427.6,3373.8,3392.6,3293.1,3534.2
GM,14071,19948,20822,18027,19981
GCO,251.173,230.262,214.428,133.745,137.18
GNTX,539.36561,600.33036,622.92926,610.31236,593.24057
THRM,154.2,146.394,140.893,138.958,140.881
GPC,1266.089,1217.259,1166.233,1387.455,1400.703
GNW,#N/A,#N/A,#N/A,#N/A,#N/A
GTY,66.989,79.113,83.647,93.838,95.256
ROCK,87.356,121.309,120.427,121.21,120.258
