,Q3 2019 Shareholder's Equity,Q4 2019 Shareholder's Equity,Q1 2020 Shareholder's Equity,Q2 2020 Shareholder's Equity,Q3 2020 Shareholder's Equity
VSH,1485.498,1485.149,1467.121,1496.377,1536.645
VSTO,588.501,604.95,442.505,489.505,574.637
VC,474,480,394,358,385
VG,534.765,567.062,538.713,547.639,577.231
VNT,#N/A,#N/A,#N/A,#N/A,1583.1
VNO,7075.072,6732.03,6837.027,6496.417,6468.84
VMC,5542.239,5621.857,5590.326,5764.151,5928.352
WRB,6056.296,6074.939,5493.475,5801.116,5995.112
GWW,1871,1855,1810,1929,2131
WNC,515.058,520.988,393.969,393.217,397.365
WAB,9696.4,9956.5,9761.8,9845.6,10016.9
WDR,839.53,808.897,765.658,766.703,747.511
WBA,23661,23720,20736,20637,
WD,995.807,1035.689,1036.268,1090.551,1115.125
WMT,71649,74669,68240,75310,
HCC,745.937,765.582,785.122,774.963,759.711
WAFD,2032.995,2050.909,1985.967,1990.509,2014.133
WRE,1323.9,1411.726,1357.815,1328.237,1306.79
WM,6785,7068,6743,6891,7155
WAT,115.5,-216.281,-337.999,-191.742,-41.581
WSO,1443.109,1435.427,1404.342,1437.039,1489.612
WTS,942,978,967.8,985.2,1024.6
WDFC,145.992,147.959,144.983,160.313,
WBS,3152.394,3207.77,3090.242,3174.779,3219.69
WEC,10081.4,10143.8,10374.5,10414.1,10481.1
WRI,1673.731,1698.315,1686.925,1675.696,1655.801
WFC,193304,187146,182718,179386,181173
WELL,15266.065,15540.444,16132.783,16048.14,16107.874
WERN,1064.804,1111.008,1102.036,1136.388,1180.137
WST,1487.6,1573.2,1490.2,1606.3,1718.9
WABC,713.378,731.417,705.546,808.076,825.576
WDC,9566,9379,9243,9551,9576
WRK,11669.9,11825.2,11482.4,11713.1,10630.6
WEX,1842.424,1926.947,1866.837,1976.945,2084.93
WY,8599,8177,8082,8202,8527
WHR,3028,3195,3060,3018,3371
WSR,324.976,345.317,333.672,330.722,329.996
WSM,1131.893,1235.86,1218.929,1332.922,
WLTW,9887,10249,10263,10335,10515
WING,-211.575,-209.428,-202.948,-192.672,-183.537
WGO,785.609,801.524,784.81,827.466,
WTFC,3540.325,3691.25,3700.393,3990.218,4074.089
WETF,497.105,469.981,457.338,420.101,414.238
WWW,782.9,766.7,725.6,724,754.1
WWD,1726.741,1798.603,1907.694,1909.766,1992.677
WRLD,394.944037,392.157147,411.963067,391.242915,367.275151
INT,1842.1,1890.4,1846.4,1815,1916
WWE,292.996,275.326,302.087,345.455,382.223
WOR,835.891,821.495,820.821,1382.785,
WPX,4643,4515,5091,4692,4548
WW,-723.602,-685.543,-704.473,-649.153,-584.75
WYND,-576,-530,-897,-1056,-1000
WH,1242,1212,1112,933,963
WYNN,1918.751,1743.045,1242.09,619.519,-128.703
XEL,13141,13239,13302,13385,13777
XNCR,610.237,593.201,593.005,570.645,568.483
XHR,1752.094,1739.021,1669.47,1575.17,1526.453
XRX,5069,5801,5607,5691,5662
XLNX,2695.905,2641.162,2315.049,2319.653,2452.837
XPER,565.363,547.911,565.01,1353.311,1290.574
XPO,2572,2743,2578,2484,2649
XYL,2886,2957,2812,2856,2867
YELP,702.564,754.991,762.432,781.32,815.628
YETI,87.86,122.005,131.647,169.029,222.633
YUM,-8097,-8016,-8229,-8108,-7919
ZBRA,1694,1839,1727,1803,1931
ZBH,12081.5,12388.1,11878.6,11641.4,11872.2
ZION,7509,7353,7472,7575,7668
ZTS,2678,2708,2753,2982,3602
ZUMZ,426.839,466.086,431.154,470.026,
ZYXI,16.481,19.742,23.397,27.046,54.311
