,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
DAN,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
DHR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
DRI,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
DAR,Consumer Staples,Food Beverage & Tobacco,Food Products,Agricultural Products
PLAY,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
DVA,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
DECK,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Footwear
DE,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
DAL,Industrials,Transportation,Airlines,Airlines
DLX,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Commercial Printing
XRAY,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
DBI,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
DVN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
DXCM,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
FANG,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
DRH,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
DKS,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
DBD,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
DGII,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
DLR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
DCOM,Financials,Banks,Banks,Regional Banks
DIN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
DIOD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
DFS,Financials,Diversified Financials,Consumer Finance,Consumer Finance
DISC.A,#N/A,#N/A,#N/A,#N/A
DISC.K,#N/A,#N/A,#N/A,#N/A
DISH,Communication Services,Media & Entertainment,Media,Cable & Satellite
DHC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
BOOM,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
DG,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
DLTR,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
D,Utilities,Utilities,Multi-Utilities,Multi-Utilities
DPZ,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
UFS,Materials,Materials,Paper & Forest Products,Paper Products
DCI,Industrials,Capital Goods,Machinery,Industrial Machinery
DFIN,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
LPG,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
DORM,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
DEI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
DOV,Industrials,Capital Goods,Machinery,Industrial Machinery
DOW,Materials,Materials,Chemicals,Commodity Chemicals
DRQ,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
DSPG,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
DTE,Utilities,Utilities,Multi-Utilities,Multi-Utilities
DUK,Utilities,Utilities,Electric Utilities,Electric Utilities
DRE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
DNKN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
DD,Materials,Materials,Chemicals,Specialty Chemicals
DXC,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
DXPE,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
DY,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
EGBN,Financials,Banks,Banks,Regional Banks
EXP,Materials,Materials,Construction Materials,Construction Materials
EGRX,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
EWBC,Financials,Banks,Banks,Regional Banks
DEA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
EGP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
EMN,Materials,Materials,Chemicals,Diversified Chemicals
ETN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
EV,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
EBAY,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
EBIX,Information Technology,Software & Services,Software,Application Software
ECHO,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
ECL,Materials,Materials,Chemicals,Specialty Chemicals
EPC,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
EIX,Utilities,Utilities,Electric Utilities,Electric Utilities
EW,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
EHTH,Financials,Insurance,Insurance,Insurance Brokers
LOCO,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
EA,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
LLY,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
EME,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
EBS,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
EMR,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
EIG,Financials,Insurance,Insurance,Property & Casualty Insurance
ENTA,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
EHC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
ECPG,Financials,Diversified Financials,Consumer Finance,Consumer Finance
WIRE,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
ENDP,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
ENR,Consumer Staples,Household & Personal Products,Household Products,Household Products
EPAC,Industrials,Capital Goods,Machinery,Industrial Machinery
ENS,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
ENVA,Financials,Diversified Financials,Consumer Finance,Consumer Finance
ENPH,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
NPO,Industrials,Capital Goods,Machinery,Industrial Machinery
ETR,Utilities,Utilities,Electric Utilities,Electric Utilities
EOG,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
PLUS,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
EPR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
EQT,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
EFX,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
EQIX,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
ETRN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
EQR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ESE,Industrials,Capital Goods,Machinery,Industrial Machinery
ESNT,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
EPRT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
WTRG,Utilities,Utilities,Water Utilities,Water Utilities
ESS,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ETH,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
ETSY,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
EVR,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
RE,Financials,Insurance,Insurance,Reinsurance
EVRG,Utilities,Utilities,Electric Utilities,Electric Utilities
ES,Utilities,Utilities,Electric Utilities,Electric Utilities
EVTC,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
EXEL,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
EXC,Utilities,Utilities,Electric Utilities,Electric Utilities
EXLS,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
EXPE,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
EXPD,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
EXPO,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
EXTN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
EXR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
EXTR,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
XOM,Energy,Energy,Oil Gas & Consumable Fuels,Integrated Oil & Gas
EZPW,Financials,Diversified Financials,Consumer Finance,Consumer Finance
FNB,Financials,Banks,Banks,Regional Banks
FFIV,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
FN,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
FB,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
FDS,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
FICO,Information Technology,Software & Services,Software,Application Software
FARO,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
FAST,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
FBK,Financials,Banks,Banks,Regional Banks
FRT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
FSS,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
FHI,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
FDX,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
FOE,Materials,Materials,Chemicals,Specialty Chemicals
FIS,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
FRGI,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
FITB,Financials,Banks,Banks,Regional Banks
FAF,Financials,Insurance,Insurance,Property & Casualty Insurance
FBNC,Financials,Banks,Banks,Regional Banks
FBP,Financials,Banks,Banks,Regional Banks
FCF,Financials,Banks,Banks,Regional Banks
FFBC,Financials,Banks,Banks,Regional Banks
FFIN,Financials,Banks,Banks,Regional Banks
FHB,Financials,Banks,Banks,Regional Banks
FHN,Financials,Banks,Banks,Regional Banks
FR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
FMBI,Financials,Banks,Banks,Regional Banks
FRC,Financials,Banks,Banks,Regional Banks
FSLR,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
FCFS,Financials,Diversified Financials,Consumer Finance,Consumer Finance
FE,Utilities,Utilities,Electric Utilities,Electric Utilities
FISV,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
FIVE,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
FBC,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
FLT,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
FLIR,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
FLO,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
FLS,Industrials,Capital Goods,Machinery,Industrial Machinery
FLR,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
FMC,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
FL,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
F,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
FORM,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
FORR,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
FTNT,Information Technology,Software & Services,Software,Systems Software
FTV,Industrials,Capital Goods,Machinery,Industrial Machinery
FBHS,Industrials,Capital Goods,Building Products,Building Products
FWRD,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
FOSL,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
FBM,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
FCPT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
FOXA,Communication Services,Media & Entertainment,Media,Broadcasting
FOX,Communication Services,Media & Entertainment,Media,Broadcasting
FOXF,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
FELE,Industrials,Capital Goods,Machinery,Industrial Machinery
BEN,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
FSP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
FCX,Materials,Materials,Metals & Mining,Copper
FDP,Consumer Staples,Food Beverage & Tobacco,Food Products,Agricultural Products
FCN,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
FLGT,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
FULT,Financials,Banks,Banks,Regional Banks
FF,Materials,Materials,Chemicals,Specialty Chemicals
GME,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
GCI,Communication Services,Media & Entertainment,Media,Publishing
GRMN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
IT,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
GATX,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
GCP,Materials,Materials,Chemicals,Specialty Chemicals
GNRC,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
GD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
GE,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
GIS,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
GM,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
GCO,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
GNTX,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
THRM,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
GPC,Consumer Discretionary,Retailing,Distributors,Distributors
GNW,Financials,Insurance,Insurance,Life & Health Insurance
GTY,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
ROCK,Industrials,Capital Goods,Building Products,Building Products
GIII,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
GILD,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
GBCI,Financials,Banks,Banks,Regional Banks
GLT,Materials,Materials,Paper & Forest Products,Paper Products
GKOS,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
GNL,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
GPN,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
GL,Financials,Insurance,Insurance,Life & Health Insurance
GMED,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
GLUU,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
GMS,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
GGG,Industrials,Capital Goods,Machinery,Industrial Machinery
GHC,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
LOPE,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
GVA,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
GPMT,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
GWB,Financials,Banks,Banks,Regional Banks
GDOT,Financials,Diversified Financials,Consumer Finance,Consumer Finance
GPRE,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
GHL,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
GEF,Materials,Materials,Containers & Packaging,Metal & Glass Containers
GFF,Industrials,Capital Goods,Building Products,Building Products
GO,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
GPI,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
GRUB,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
GES,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
HRB,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
FUL,Materials,Materials,Chemicals,Specialty Chemicals
HAE,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
HAL,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
HALO,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
HWC,Financials,Banks,Banks,Regional Banks
HBI,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
HNGR,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
HAFC,Financials,Banks,Banks,Regional Banks
HOG,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers
HLIT,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
HSC,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
HAS,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
HVT,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
HE,Utilities,Utilities,Electric Utilities,Electric Utilities
HA,Industrials,Transportation,Airlines,Airlines
HWKN,Materials,Materials,Chemicals,Commodity Chemicals
HAYN,Materials,Materials,Metals & Mining,Steel
HCA,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
HCI,Financials,Insurance,Insurance,Property & Casualty Insurance
HR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
HCSG,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
HQY,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
PEAK,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
HSTM,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
HTLD,Industrials,Transportation,Road & Rail,Trucking
HSII,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
HELE,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
HLX,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
HP,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
HSIC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
HFWA,Financials,Banks,Banks,Regional Banks
MLHR,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies
HT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
HSKA,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
HES,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
HPE,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
HXL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
HIBB,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
HIW,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
HI,Industrials,Capital Goods,Machinery,Industrial Machinery
HRC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
HLT,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
HMSY,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
HNI,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies
HFC,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
HOLX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
HOMB,Financials,Banks,Banks,Regional Banks
HMST,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
HON,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
HOPE,Financials,Banks,Banks,Regional Banks
HMN,Financials,Insurance,Insurance,Multi-line Insurance
HRL,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
HST,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
HWM,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
HPQ,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
HUBG,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
HUBB,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
HPP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
HUM,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
HBAN,Financials,Banks,Banks,Regional Banks
HII,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
IAA,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
ICHR,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
ICUI,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
IDA,Utilities,Utilities,Electric Utilities,Electric Utilities
IEX,Industrials,Capital Goods,Machinery,Industrial Machinery
IDXX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
INFO,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
IIVI,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
ITW,Industrials,Capital Goods,Machinery,Industrial Machinery
ILMN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
INCY,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
IRT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
INDB,Financials,Banks,Banks,Regional Banks
IBTX,Financials,Banks,Banks,Regional Banks
ILPT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
IR,Industrials,Capital Goods,Machinery,Industrial Machinery
NGVT,Materials,Materials,Chemicals,Specialty Chemicals
INGR,Consumer Staples,Food Beverage & Tobacco,Food Products,Agricultural Products
IOSP,Materials,Materials,Chemicals,Specialty Chemicals
IIPR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
INVA,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
INGN,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
NSIT,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
NSP,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
IBP,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
IIIN,Industrials,Capital Goods,Building Products,Building Products
ITGR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
IART,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
INTC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
IPAR,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
IBKR,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
ICE,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
IDCC,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
TILE,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies
IBOC,Financials,Banks,Banks,Regional Banks
IBM,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
IFF,Materials,Materials,Chemicals,Specialty Chemicals
IP,Materials,Materials,Containers & Packaging,Paper Packaging
INTU,Information Technology,Software & Services,Software,Application Software
ISRG,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
IVC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
IVZ,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
IVR,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
IRET,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
IPGP,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
IQV,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
IRDM,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
IRBT,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
IRM,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
STAR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
ITRI,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
ITT,Industrials,Capital Goods,Machinery,Industrial Machinery
JJSF,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
JBHT,Industrials,Transportation,Road & Rail,Trucking
JCOM,Information Technology,Software & Services,Software,Application Software
JBL,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
JKHY,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
JACK,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
J,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
JRVR,Financials,Insurance,Insurance,Property & Casualty Insurance
JHG,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
JAZZ,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
JBGS,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
JEF,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings
JBLU,Industrials,Transportation,Airlines,Airlines
JBSS,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
JBT,Industrials,Capital Goods,Machinery,Industrial Machinery
JW.A,Communication Services,Media & Entertainment,Media,Publishing
JNJ,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
JCI,Industrials,Capital Goods,Building Products,Building Products
JLL,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services
JPM,Financials,Banks,Banks,Diversified Banks
JNPR,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
KALU,Materials,Materials,Metals & Mining,Aluminum
KAMN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
KSU,Industrials,Transportation,Road & Rail,Railroads
KAR,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
KBH,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
KBR,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
K,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
KELY.A,#N/A,#N/A,#N/A,#N/A
KMPR,Financials,Insurance,Insurance,Property & Casualty Insurance
KMT,Industrials,Capital Goods,Machinery,Industrial Machinery
KEY,Financials,Banks,Banks,Regional Banks
KEYS,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
KRC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
